id,bullying_words,type_bully
1,Hate,bully
2,Insult  ,bully
3,Threat   ,bully
4,Mockery  ,bully
5,Tease     ,bully
6,Disagree ,non-bully
7,Debate   ,non-bully
8,Dislike   ,non-bully
9,Criticize ,non-bully
10,Disagree   ,non-bully
11,"You're so dumb, you can't even understand simple things",bully
12,Why are you even here? Nobody likes you,bully
13,"You're such a loser, always trying to fit in but never succeeding",bully
14,Nobody cares about what you have to say. Just shut up already,bully
15,You're ugly and nobody will ever love you,bully
16,I can't believe how pathetic you are. Get a life!,bully
17,You're a waste of space. Why don't you just disappear?,bully
18,Everyone laughs at you behind your back because you're a joke,bully
19,You'll never amount to anything. Might as well give up now,bully
20,Nobody wants to be around you. You're better off alone,bully
21,You're such a crybaby. Can't handle a little criticism?,bully
22,Why do you even bother trying? You'll never be good enough.,bully
23,You're so weak. I can't believe you let things get to you.,bully
24,You are a loser and always will be. Just accept it,bully
25,You're so boring. Nobody wants to hear what you have to say,bully
26,You're such a try-hard. Just give up already.,bully
27,Why are you even alive? You contribute nothing to this world.,bully
28,You're so fat and ugly. No wonder nobody likes you.,bully
29,You're so worthless. I don't know why anyone would be friends with you.,bully
30,You're such a failure. Just stop embarrassing yourself,bully
31,You're a joke. Everyone laughs at how pathetic you are.,bully
32,Nobody cares about your feelings. You're just an inconvenience.,bully
33,You're so annoying. Just go away and leave us alone.,bully
34,You'll never succeed at anything. Might as well give up now.,bully
35,Why do you even bother trying? You'll never be good enough.,bully
36,You're so weak. I can't believe you let things get to you.,bully
37,You're such a disappointment. I expected better from you.,bully
38,You're such a burden. Nobody wants to deal with your problems,bully
39,You're so useless. Can't even do the simplest tasks right.,bully
40,You're a waste of space. Nobody would miss you if you were gone,bully
41,You're doing great! Keep up the good work,non-bully
42,You're a wonderful person inside and out.,non-bully
43,You always bring positivity to those around you,non-bully
44,You're making a difference in people's lives.,non-bully
45,You have a beautiful soul that shines brightly,non-bully
46,You're so talented and capable. Believe in yourself!,non-bully
47,You're a ray of sunshine on even the gloomiest days,non-bully
48,You're valuable and worthy of all the good things in life.,non-bully
49,You inspire others with your kindness and compassion.,non-bully
50,You're not alone. We're here to support you.,non-bully
